week_number,cluster,mean_perc_fully_vaccinated,std_perc_fully_vaccinated,mean_VHb,std_VHb,w_month_year
4,1,0.04102536858056056,0.004958617378324909,0.9596977999603289,0.003429586080627058,"W-4
Jan 2021"
4,2,0.029092739021071946,0.0029657039909221933,0.970907260978928,0.0029657039909221938,"W-4
Jan 2021"
4,3,0.020572793704745167,0.0019419134590339573,0.9794272062952548,0.0019419134590339616,"W-4
Jan 2021"
4,4,0.014102904387516508,0.0019634200781592213,0.9858970956124834,0.0019634200781592057,"W-4
Jan 2021"
4,5,0.0077638484693224675,0.0021696390691849526,0.9922361515306775,0.002169639069184923,"W-4
Jan 2021"
5,1,0.06420285710711901,0.017329878334367374,0.9393299229102658,0.006705587518539254,"W-5
Feb 2021"
5,2,0.04125981827704196,0.004299441795805888,0.9587401817229579,0.004299441795805901,"W-5
Feb 2021"
5,3,0.029706556173820904,0.00273210829545632,0.9702934438261791,0.0027321082954563465,"W-5
Feb 2021"
5,4,0.021882653865491812,0.002117281391162679,0.9781173461345082,0.0021172813911626833,"W-5
Feb 2021"
5,5,0.013642261897071687,0.0033624158637363256,0.9863577381029283,0.003362415863736331,"W-5
Feb 2021"
6,1,0.09677945907277491,0.019752997501628965,0.9086457665554422,0.007611764857975177,"W-6
Feb 2021"
6,2,0.06549945895035371,0.005885524272554285,0.9345005410496462,0.005885524272554297,"W-6
Feb 2021"
6,3,0.0485974815946437,0.0038825443472033355,0.9514025184053563,0.003882544347203323,"W-6
Feb 2021"
6,4,0.03543112687880742,0.003698941706147557,0.9645688731211924,0.003698941706147563,"W-6
Feb 2021"
6,5,0.022164372191640535,0.005678235846018193,0.9778356278083594,0.005678235846018182,"W-6
Feb 2021"
7,1,0.11230881413947469,0.020600202545453628,0.8990406689186868,0.008929146260942386,"W-7
Feb 2021"
7,2,0.08187991135419367,0.012624124608720463,0.9260819473939841,0.0068546496482175335,"W-7
Feb 2021"
7,3,0.06135848014823654,0.007997176094260598,0.9453889034083782,0.004804540986623604,"W-7
Feb 2021"
7,4,0.04505668996803141,0.00645569242842057,0.9605829365906853,0.004265962884375376,"W-7
Feb 2021"
7,5,0.02941148166491525,0.008779056339311534,0.9752203195793787,0.006543195565262936,"W-7
Feb 2021"
8,1,0.15177769146216483,0.024499022122256842,0.8698956420788222,0.01159435497937091,"W-8
Feb 2021"
8,2,0.11197922226726421,0.013832089556566587,0.9035599717181086,0.008362127595221616,"W-8
Feb 2021"
8,3,0.0849495576353277,0.011923363389714402,0.9288949195514592,0.006795892243337774,"W-8
Feb 2021"
8,4,0.06279134720963558,0.010225412168345379,0.9499682514973066,0.005832472331463396,"W-8
Feb 2021"
8,5,0.04058916750458541,0.013579256059486705,0.9703571310044915,0.008885499746108125,"W-8
Feb 2021"
9,1,0.17707754332784734,0.03647138598083716,0.8533229226626032,0.013447448485104752,"W-9
Mar 2021"
9,2,0.12915083262531307,0.019489498729432692,0.8956134370291668,0.00980736427908814,"W-9
Mar 2021"
9,3,0.0999362578944114,0.015926393473142873,0.9242262046672507,0.007414816128379508,"W-9
Mar 2021"
9,4,0.0752370843323987,0.01369566718527694,0.9472651897394735,0.0068614582209744835,"W-9
Mar 2021"
9,5,0.045066185897987734,0.01866238764471771,0.9728209230595511,0.010557838703141604,"W-9
Mar 2021"
10,1,0.1959368277217834,0.043269462151387675,0.8412698996693222,0.01692305242955647,"W-10
Mar 2021"
10,2,0.1495822260905399,0.024667721752559522,0.887857160991941,0.010727477806289331,"W-10
Mar 2021"
10,3,0.12160833923002136,0.01885544332306992,0.916281235370885,0.007436247872358239,"W-10
Mar 2021"
10,4,0.09558967193303411,0.018037101664131607,0.940163586972081,0.00707531891715528,"W-10
Mar 2021"
10,5,0.06009740924459432,0.028760538397660844,0.9663596963175988,0.012896503400097336,"W-10
Mar 2021"
11,1,0.22825804933817054,0.049317632883693265,0.8333055648362038,0.01620604281043724,"W-11
Mar 2021"
11,2,0.17207160431554605,0.024862137385926304,0.880638660936081,0.010641089388743561,"W-11
Mar 2021"
11,3,0.13940644448741804,0.022280303051692492,0.9110919142110223,0.007785449082091284,"W-11
Mar 2021"
11,4,0.1114702696413991,0.022010234182940933,0.9352727446353999,0.007206856504955454,"W-11
Mar 2021"
11,5,0.07414373437820741,0.03401956963830636,0.9628734047764553,0.013428263307302287,"W-11
Mar 2021"
12,1,0.2530246454827558,0.04786033738853004,0.8288893466733244,0.01558065555124075,"W-12
Mar 2021"
12,2,0.20102990784249175,0.03067816796414916,0.8725500383151861,0.011349018322907786,"W-12
Mar 2021"
12,3,0.16510721332896952,0.02645871219983622,0.9044580334351651,0.0083819747235264,"W-12
Mar 2021"
12,4,0.13532323796763898,0.02729464906947204,0.9305045758770786,0.00744424306593295,"W-12
Mar 2021"
12,5,0.10009237091458581,0.0417657405771725,0.9576148728899625,0.012964307755953799,"W-12
Mar 2021"
13,1,0.2621221007807021,0.05888417998897315,0.8080050774242636,0.018672796216171305,"W-13
Mar 2021"
13,2,0.2343973925817699,0.03807805640692111,0.8573855146502684,0.011336460036979034,"W-13
Mar 2021"
13,3,0.1924082857723046,0.030215174573739442,0.8921689245615677,0.00912661228591397,"W-13
Mar 2021"
13,4,0.15749622285996956,0.03222224773997834,0.9226140949806582,0.008580955103046597,"W-13
Mar 2021"
13,5,0.11754866541257766,0.04436385548729637,0.953999783058694,0.013905697751229192,"W-13
Mar 2021"
14,1,0.29459270711149005,0.06568270066466135,0.7987293143363753,0.020287936280096303,"W-14
Apr 2021"
14,2,0.25770994196269054,0.03949344711186709,0.8542268618106867,0.012509658106476793,"W-14
Apr 2021"
14,3,0.21394548310827316,0.035243139065452074,0.8904719697983058,0.00929918799290467,"W-14
Apr 2021"
14,4,0.1797683071461619,0.035883758002866785,0.9201946127422936,0.008609966611746855,"W-14
Apr 2021"
14,5,0.13326054411346958,0.0487990788716098,0.9517499030956139,0.013387541704623824,"W-14
Apr 2021"
15,1,0.35278971818582955,0.0652113885247322,0.7653565210871137,0.02043673693298426,"W-15
Apr 2021"
15,2,0.3041113818273389,0.04192698117980249,0.8260377772384537,0.014527894641064023,"W-15
Apr 2021"
15,3,0.25326933318945627,0.03704786105286958,0.867248083321463,0.011064984018982866,"W-15
Apr 2021"
15,4,0.2106286313622703,0.03765015176067529,0.9029643029083972,0.010413168072091819,"W-15
Apr 2021"
15,5,0.16147526196072548,0.05533604210948457,0.9398688701512408,0.016404621579126717,"W-15
Apr 2021"
16,1,0.345445928019779,0.09185204704735947,0.7456243134022255,0.022427897097028013,"W-16
Apr 2021"
16,2,0.32464623969919176,0.04943062311553442,0.8159926169061942,0.015673720744358362,"W-16
Apr 2021"
16,3,0.28001334545152823,0.041203320388027334,0.8594271292230578,0.011969723019707428,"W-16
Apr 2021"
16,4,0.22994263709293128,0.043463386373309924,0.8990743320283657,0.011190869013387762,"W-16
Apr 2021"
16,5,0.18020176991248185,0.0579910778722058,0.9377018283884712,0.016891198326178185,"W-16
Apr 2021"
17,1,0.35106872534217076,0.09103951337161303,0.7251282287728545,0.024838475325956618,"W-17
Apr 2021"
17,2,0.3576459860212071,0.05273384005544752,0.8072467601244693,0.016452432616285727,"W-17
Apr 2021"
17,3,0.30641471401209286,0.044743196754233494,0.8584362314896179,0.013590664348572775,"W-17
Apr 2021"
17,4,0.24727571446147179,0.04576305013859598,0.9020186559532613,0.011897721310320387,"W-17
Apr 2021"
17,5,0.1972487254784652,0.06427665210861326,0.9421549504284988,0.01634575483441525,"W-17
Apr 2021"
18,1,0.3496265879406346,0.09236338001675619,0.7111490797239528,0.02594852151319734,"W-18
May 2021"
18,2,0.37761833339754997,0.06320613948233561,0.8086128010056738,0.01844177774818038,"W-18
May 2021"
18,3,0.3273535847310107,0.047097133540598766,0.8644616297730041,0.014162426675937922,"W-18
May 2021"
18,4,0.2701681269344487,0.0504719136846392,0.9076576284768002,0.011563865141209998,"W-18
May 2021"
18,5,0.21872873350942057,0.06748247196238424,0.9471569321290096,0.015167069986610413,"W-18
May 2021"
19,1,0.4068359582540739,0.09101876293622918,0.7322828258687858,0.024846060691125004,"W-19
May 2021"
19,2,0.402658167950444,0.05733058630065222,0.8204491475821636,0.01868745227279908,"W-19
May 2021"
19,3,0.34597113675332886,0.04891514060227838,0.8747398410734707,0.01360241329500633,"W-19
May 2021"
19,4,0.28977568180928615,0.055652536404910774,0.9162770319780734,0.011453767172527543,"W-19
May 2021"
19,5,0.2327319551902941,0.06575465374756356,0.9536841342842102,0.013607838199668832,"W-19
May 2021"
20,1,0.4725185265188767,0.06030370838862049,0.7874814034145896,0.018496905910997702,"W-20
May 2021"
20,2,0.41039445940457303,0.05207554859197179,0.8450857726657619,0.015379936908921083,"W-20
May 2021"
20,3,0.3566480970211779,0.05217988010975492,0.892128272457268,0.01203345477718599,"W-20
May 2021"
20,4,0.29648871122029175,0.05666641466473118,0.9295035044531884,0.009692860144853875,"W-20
May 2021"
20,5,0.2435819188959035,0.0684674802192562,0.9608072635940595,0.01138077832504771,"W-20
May 2021"
21,1,0.49538955756425146,0.05262653892934151,0.8036310050268995,0.017028721158063632,"W-21
May 2021"
21,2,0.42872581184767755,0.05946018083454911,0.8604990615306144,0.014378583008689614,"W-21
May 2021"
21,3,0.3719445673630772,0.0554597310410361,0.9029496410560199,0.011200246956543362,"W-21
May 2021"
21,4,0.31304527133915305,0.05964921364418719,0.9375484518676716,0.008971536758293076,"W-21
May 2021"
21,5,0.25601516509953975,0.06961486114930737,0.9652433809945945,0.009163926141155961,"W-21
May 2021"
22,1,0.5121726172221528,0.05975546639053584,0.8212600161293357,0.01559621636847059,"W-22
May 2021"
22,2,0.44185305828761867,0.06210037333039392,0.876869233755873,0.014143109573683303,"W-22
May 2021"
22,3,0.3841256491346956,0.05926108180800691,0.9173154050631899,0.009644446099498022,"W-22
May 2021"
22,4,0.326646575413126,0.061135427202019296,0.9466951664069213,0.007407664911335193,"W-22
May 2021"
22,5,0.2639454470354531,0.06850497665157235,0.9702897246447277,0.007655756169826578,"W-22
May 2021"
23,1,0.5187359427911594,0.05876563438366528,0.834446379475771,0.0136340151272725,"W-23
Jun 2021"
23,2,0.4659099111313058,0.06528713254262226,0.8821612354095583,0.013069826348859887,"W-23
Jun 2021"
23,3,0.40627114602773196,0.059500665604287246,0.9205926148541969,0.009654774986361693,"W-23
Jun 2021"
23,4,0.3389600060646593,0.06698751850870113,0.9504682668224371,0.007239542865534596,"W-23
Jun 2021"
23,5,0.27071759356062003,0.06530652250240129,0.9728460805104439,0.007039191621973927,"W-23
Jun 2021"
24,1,0.5376234152659798,0.06791850692677229,0.8525446625222329,0.014177073698964327,"W-24
Jun 2021"
24,2,0.4751127015099587,0.0667117796780302,0.8968436594690211,0.011755299688489587,"W-24
Jun 2021"
24,3,0.4089178242345043,0.07108505268853296,0.9293385030888696,0.00812001735302244,"W-24
Jun 2021"
24,4,0.3457041453979369,0.061668376362098154,0.9552484835128772,0.006561933047919698,"W-24
Jun 2021"
24,5,0.2736449270863806,0.06556964097623377,0.9750316439455453,0.006648558278873502,"W-24
Jun 2021"
25,1,0.5524241123973619,0.07165566248701462,0.8656237955176027,0.010763582521759242,"W-25
Jun 2021"
25,2,0.48738993312504675,0.05522006392749577,0.9009455609159549,0.009615051958417864,"W-25
Jun 2021"
25,3,0.42133561893225047,0.0739504156546474,0.9312294054741188,0.007700317539152716,"W-25
Jun 2021"
25,4,0.3576419730208163,0.06203039786785333,0.9562923068212462,0.006351264404032593,"W-25
Jun 2021"
25,5,0.2797500719534845,0.06615098908260879,0.9758287649899341,0.006665468719007943,"W-25
Jun 2021"
26,1,0.55923623640856,0.06914841037033306,0.8795029624610056,0.011970869579512957,"W-26
Jun 2021"
26,2,0.47423609904170094,0.05766421372965262,0.9163068384964146,0.009297376328686801,"W-26
Jun 2021"
26,3,0.4039900100930515,0.0710009637753914,0.9431333561430131,0.006568544863962636,"W-26
Jun 2021"
26,4,0.3410749140747107,0.06252212094387617,0.9636114593384624,0.005124173973447117,"W-26
Jun 2021"
26,5,0.26954247281186444,0.06582540366486138,0.9796576696550671,0.005364321515898307,"W-26
Jun 2021"
27,1,0.5554836905500472,0.07749520796893371,0.9047456363654668,0.008593819358786234,"W-27
Jul 2021"
27,2,0.48565275654951856,0.0681895131503466,0.9320222545940979,0.007427234408453508,"W-27
Jul 2021"
27,3,0.40426133105756845,0.07172594272337603,0.9537258494754861,0.005407430596169665,"W-27
Jul 2021"
27,4,0.34669465521191667,0.06822928698307482,0.9692133469513491,0.003812159313146461,"W-27
Jul 2021"
27,5,0.2801626039073745,0.06944075633964215,0.9820161855787547,0.004708560610562848,"W-27
Jul 2021"
28,1,0.5703957229226744,0.08942830138897864,0.9140014121389048,0.007176905508883744,"W-28
Jul 2021"
28,2,0.5113043341485692,0.07019060283485619,0.9392615826101497,0.006462652803769023,"W-28
Jul 2021"
28,3,0.4219146268014115,0.07443311192035229,0.9583006170632404,0.004629234701141182,"W-28
Jul 2021"
28,4,0.36252646881664347,0.07033227238945533,0.9724119672655711,0.0036680241379200493,"W-28
Jul 2021"
28,5,0.2918650946559353,0.07364128743976944,0.9840846357249576,0.004157128395764978,"W-28
Jul 2021"
29,1,0.5265720616587252,0.11982461679668273,0.9247571385343879,0.007625000789656771,"W-29
Jul 2021"
29,2,0.503202555792351,0.08289492548905293,0.9493285446181401,0.00554864550151964,"W-29
Jul 2021"
29,3,0.4244301426363563,0.07503913623669019,0.9641313761051794,0.0037455738153736864,"W-29
Jul 2021"
29,4,0.36886309110237603,0.07486305878488077,0.9756017592564648,0.0030380933556060767,"W-29
Jul 2021"
29,5,0.3003073204964753,0.07813499182479944,0.9856368709545585,0.003815219618115909,"W-29
Jul 2021"
30,1,0.5030453149060371,0.1328375134783697,0.9246497387461199,0.005811701473884622,"W-30
Jul 2021"
30,2,0.5143827509794101,0.09601226999955613,0.9489289090249166,0.006072933808160467,"W-30
Jul 2021"
30,3,0.4417251152302237,0.08468389917684854,0.9659757672050096,0.003961899860345901,"W-30
Jul 2021"
30,4,0.37602487814292246,0.08006063816739589,0.9773518434493806,0.002910766390479637,"W-30
Jul 2021"
30,5,0.30843385375476223,0.08024385952270094,0.9864334880670932,0.0033274163622781716,"W-30
Jul 2021"
31,1,0.5534405517274842,0.125954827086645,0.8507832108552817,0.01925807309454792,"W-31
Aug 2021"
31,2,0.5354460801913575,0.11302414074757375,0.9383145806723651,0.010903432317905285,"W-31
Aug 2021"
31,3,0.46762809819682355,0.08597359516160197,0.9624027708688426,0.0050251201714901815,"W-31
Aug 2021"
31,4,0.3834116037582562,0.0760698087775461,0.9765062772840051,0.0034256487508182104,"W-31
Aug 2021"
31,5,0.31772825876540417,0.08113428360609146,0.9862714551508701,0.0033116630818163665,"W-31
Aug 2021"
32,1,0.4773592451263973,0.13407385456116103,0.84138410953771,0.006898265807344054,"W-32
Aug 2021"
32,2,0.5225493923364986,0.16440012184289915,0.9008173597993069,0.016668731282666542,"W-32
Aug 2021"
32,3,0.49370381441114386,0.10155056319096124,0.9540791747097146,0.008036443493854722,"W-32
Aug 2021"
32,4,0.40298248606716724,0.0856826388641675,0.9724713224789855,0.004257525790436499,"W-32
Aug 2021"
32,5,0.33081255795906095,0.0819053598694108,0.9843538867207337,0.0038586127828486626,"W-32
Aug 2021"
33,1,0.44656787958132116,0.12806652367043062,0.8506307778426078,0.008382831471114098,"W-33
Aug 2021"
33,2,0.5450564095800479,0.12024079734161279,0.9336496056480474,0.011163913629186135,"W-33
Aug 2021"
33,3,0.4542794683489595,0.10040686699922832,0.9571455944980676,0.005400701285751753,"W-33
Aug 2021"
33,4,0.39873779381601243,0.0842036074201529,0.9714999911227559,0.0035053070943977366,"W-33
Aug 2021"
33,5,0.33398254423529167,0.08274815833320029,0.9827948604301411,0.0041655506909188626,"W-33
Aug 2021"
34,1,0.47033083206523135,0.137043123126181,0.8462480627613767,0.008901990290614758,"W-34
Aug 2021"
34,2,0.4923195705615115,0.11795062529420486,0.9276583776737347,0.009145266172597326,"W-34
Aug 2021"
34,3,0.45664680045490164,0.1050837644943841,0.9506555336461961,0.005847035984101472,"W-34
Aug 2021"
34,4,0.4046703306809266,0.08859189450400391,0.967396262509124,0.0043195717657879195,"W-34
Aug 2021"
34,5,0.3375825226867226,0.08400702105438307,0.9807174396993685,0.004680893828286858,"W-34
Aug 2021"
35,1,0.495720690576709,0.1125160228222839,0.9144442444832895,0.009141104138890984,"W-35
Aug 2021"
35,2,0.46991433117463544,0.11347668094822977,0.9381265532326403,0.005832695347066271,"W-35
Aug 2021"
35,3,0.4378420788824818,0.10189476607686049,0.9541779026330589,0.003984206202029714,"W-35
Aug 2021"
35,4,0.4037269580452756,0.08352313764716947,0.9665377445452217,0.003509415886430221,"W-35
Aug 2021"
35,5,0.3355137813802312,0.08482921001576779,0.9795536920612383,0.005032197233069058,"W-35
Aug 2021"
36,1,0.5005231538979835,0.10052604578550155,0.9029344640122376,0.009355498762002099,"W-36
Sep 2021"
36,2,0.4733637359153445,0.11445852529039134,0.9297475671335017,0.00691261827749804,"W-36
Sep 2021"
36,3,0.4493339680185421,0.10446376028782409,0.9485038936959975,0.0047849827862800265,"W-36
Sep 2021"
36,4,0.41402324478560387,0.08515435694971547,0.9633122305881002,0.004163134539272668,"W-36
Sep 2021"
36,5,0.3415201513312033,0.08588381007163856,0.977763834653267,0.005484489839775587,"W-36
Sep 2021"
37,1,0.5600758681668664,0.11690718203745125,0.8778902598664574,0.01086302594057471,"W-37
Sep 2021"
37,2,0.49186668579494014,0.10193200515414558,0.9134943398966506,0.00834224518012106,"W-37
Sep 2021"
37,3,0.4766574996872009,0.1061328890921932,0.9369302473197253,0.005910390753508611,"W-37
Sep 2021"
37,4,0.4381185132622078,0.09380784598505713,0.9553256015670772,0.00502829156702833,"W-37
Sep 2021"
37,5,0.37041985736444827,0.08760081841997695,0.9724630710071768,0.006593928946457319,"W-37
Sep 2021"
38,1,0.4843986442651691,0.09396351525913026,0.8680493426913536,0.010552606674278486,"W-38
Sep 2021"
38,2,0.48034107937732534,0.10651943735953263,0.9124724319777511,0.009324521045934155,"W-38
Sep 2021"
38,3,0.46941238574136623,0.10609732484992034,0.938206972574594,0.00620417884078907,"W-38
Sep 2021"
38,4,0.4377901442397938,0.09369409755021454,0.9572691657159861,0.005217998389508424,"W-38
Sep 2021"
38,5,0.37134318468286526,0.09038020182886009,0.9740665589141091,0.006232034885813143,"W-38
Sep 2021"
39,1,0.47524847884159116,0.08218091628426825,0.8723173445183262,0.010004355398853406,"W-39
Sep 2021"
39,2,0.49129101869026565,0.11369724787723667,0.9144235091958308,0.00877076505434975,"W-39
Sep 2021"
39,3,0.4761035955678009,0.10402352246855318,0.9391438741984169,0.00555204017051097,"W-39
Sep 2021"
39,4,0.4472080915987087,0.09468556291635989,0.9574402223189148,0.0052372713195160524,"W-39
Sep 2021"
39,5,0.38749139101529134,0.0946939741279378,0.9741719529959443,0.006262907078831338,"W-39
Sep 2021"
40,1,0.4940687755759766,0.09954321388128917,0.872971378894086,0.00926282762986359,"W-40
Oct 2021"
40,2,0.5064116110260185,0.11853071989204851,0.9158316563141218,0.008561628153580119,"W-40
Oct 2021"
40,3,0.49459043462277824,0.09904301531626164,0.9414890520435987,0.0055348276114655995,"W-40
Oct 2021"
40,4,0.4471979387474497,0.09070307735980426,0.9591206445236646,0.005128597577379921,"W-40
Oct 2021"
40,5,0.37743820121321753,0.09281337818324374,0.9750660683553026,0.005936798998436332,"W-40
Oct 2021"
41,1,0.5913956448073938,0.09081243399964739,0.9141372779937851,0.00730904857961015,"W-41
Oct 2021"
41,2,0.5362615741147188,0.09310810377839515,0.9384695819601333,0.005174507063478797,"W-41
Oct 2021"
41,3,0.48817034332428744,0.09548261799255969,0.9532669890907296,0.004018312041170135,"W-41
Oct 2021"
41,4,0.43887635659933205,0.08302468729931628,0.9670291968991076,0.003991389623237949,"W-41
Oct 2021"
41,5,0.3707550486199765,0.09056503268746663,0.9797554286168125,0.004994141691948305,"W-41
Oct 2021"
42,1,0.5997444340841919,0.08963754235945565,0.9189875470363589,0.006331996141786987,"W-42
Oct 2021"
42,2,0.5537955444110683,0.08947150931277843,0.942725811014407,0.005294325660820363,"W-42
Oct 2021"
42,3,0.5039436920627705,0.09009238499401742,0.9576383691008281,0.003950207028142024,"W-42
Oct 2021"
42,4,0.4451709586125661,0.08179560501186797,0.9692080867211027,0.0028841497339274916,"W-42
Oct 2021"
42,5,0.3808378771055644,0.07875676873833647,0.9800879475448009,0.004273233070819774,"W-42
Oct 2021"
43,1,0.5913079454285044,0.10480606896552089,0.9131248329804491,0.009355548113418702,"W-43
Oct 2021"
43,2,0.560812696555571,0.09450667293621806,0.9429667625823803,0.006255763396775471,"W-43
Oct 2021"
43,3,0.5182493735585777,0.08803911678467619,0.9593344056653217,0.004076636270409797,"W-43
Oct 2021"
43,4,0.4491401956112859,0.07787066284918527,0.9714726508790419,0.003079926505230734,"W-43
Oct 2021"
43,5,0.371553584789633,0.07603312109975864,0.9816715850320248,0.003918266981692161,"W-43
Oct 2021"
